episode,year,return,avg_loss,epsilon,yield,water,buffer_size,eval_avg_return,eval_std_return,eval_avg_water,eval_avg_yield,eval_n_eval
34,2007,1100.466064453125,1637.9340807859562,0.7940400000000001,1461.466064453125,3610.0,4167,,,,,
35,2005,138.2032470703125,1373.1409567556072,0.78226,515.2032470703125,3770.0,4291,,,,,
36,2002,264.49517822265625,1777.0595810797906,0.77048,662.4951782226562,3980.0,4415,,,,,
37,2012,-1.577728271484375,1672.4267666156475,0.75813,411.4222717285156,4130.0,4545,,,,,
38,2006,487.17962646484375,1367.7211845272877,0.74654,845.6796264648438,3585.0,4667,,,,,
39,2014,308.19586181640625,2083.260457787632,0.735045,703.6958618164062,3955.0,4788,,,,,
40,2005,158.290283203125,1066.776546816672,0.723265,528.790283203125,3705.0,4912,,,,,
41,2020,383.14288330078125,1816.9700453085977,0.7116750000000001,759.6428833007812,3765.0,5034,,,,,
42,2004,1092.8829345703125,1596.4074760812227,0.7000850000000001,1468.3829345703125,3755.0,5156,,,,,
43,2004,938.028076171875,1760.7311373225978,0.688495,1332.028076171875,3940.0,5278,,,,,
44,2002,274.013916015625,1251.6645179256316,0.676715,636.013916015625,3620.0,5402,,,,,
45,2015,509.9521484375,1831.501366687422,0.6654100000000001,867.4521484375,3575.0,5521,,,,,
46,2020,366.331787109375,1648.1186736685331,0.6538200000000001,759.331787109375,3930.0,5643,,,,,
47,2020,373.78643798828125,1604.4375485904882,0.6422300000000001,781.2864379882812,4075.0,5765,,,,,
48,2011,414.153564453125,1586.114057858785,0.63083,818.153564453125,4040.0,5885,,,,,
49,2014,370.5152587890625,2277.8077036960067,0.619335,749.0152587890625,3785.0,6006,,,,,
50,2007,1008.9091796875,1297.1921634201176,0.6078399999999999,1371.9091796875,3630.0,6127,-67.02566528320312,10.1881103515625,5410.0,473.9743347167969,2.0
51,2004,1084.2867431640625,1333.4611718850058,0.59625,1462.7867431640625,3785.0,6249,,,,,
52,2006,388.89886474609375,1245.5402769495229,0.58466,789.8988647460938,4010.0,6371,,,,,
53,2016,655.4407348632812,1216.4990824234387,0.573165,1008.4407348632812,3530.0,6492,,,,,
