loss,mse,mae,rmse,val_loss,val_mse,val_mae,val_rmse
0.36918485164642334,0.36918485164642334,0.4449716806411743,0.6076058149337769,0.18864335119724274,0.18864335119724274,0.3355237543582916,0.43433091044425964
0.1651628464460373,0.1651628464460373,0.2949444651603699,0.4064023196697235,0.1598965972661972,0.1598965972661972,0.2900906503200531,0.39987072348594666
0.14371508359909058,0.14371508359909058,0.25408515334129333,0.37909772992134094,0.13976287841796875,0.13976287841796875,0.25545018911361694,0.37384873628616333
0.13577933609485626,0.13577933609485626,0.23321345448493958,0.36848247051239014,0.13499639928340912,0.13499639928340912,0.24668550491333008,0.3674185574054718
0.13189096748828888,0.13189096748828888,0.23287475109100342,0.36316797137260437,0.13280712068080902,0.13280712068080902,0.24928268790245056,0.3644271194934845
0.12771955132484436,0.12771955132484436,0.22637410461902618,0.3573787212371826,0.1353186070919037,0.1353186070919037,0.24752169847488403,0.3678567707538605
0.1274005025625229,0.1274005025625229,0.2239290177822113,0.3569320738315582,0.13305017352104187,0.13305017352104187,0.24644963443279266,0.3647604286670685
0.12478294968605042,0.12478294968605042,0.2234310507774353,0.3532463014125824,0.12736667692661285,0.12736667692661285,0.2376002073287964,0.3568846583366394
0.12167507410049438,0.12167507410049438,0.2175164818763733,0.3488195240497589,0.12552353739738464,0.12552353739738464,0.2333287000656128,0.35429298877716064
0.11981764435768127,0.11981764435768127,0.20810510218143463,0.3461468517780304,0.12463803589344025,0.12463803589344025,0.23695507645606995,0.3530411124229431
0.1179070994257927,0.1179070994257927,0.21197089552879333,0.3433760404586792,0.12439855188131332,0.12439855188131332,0.233521968126297,0.3527017831802368
0.11663088202476501,0.11663088202476501,0.20311492681503296,0.34151262044906616,0.1218588799238205,0.1218588799238205,0.2279442399740219,0.34908291697502136
0.11482620984315872,0.11482620984315872,0.20429076254367828,0.3388601541519165,0.1232171580195427,0.1232171580195427,0.229453906416893,0.35102301836013794
0.1148206815123558,0.1148206815123558,0.20376932621002197,0.3388519883155823,0.12230570614337921,0.12230570614337921,0.2274913489818573,0.34972232580184937
0.11305294185876846,0.11305294185876846,0.19665192067623138,0.3362334668636322,0.12111686915159225,0.12111686915159225,0.22843368351459503,0.34801849722862244
0.11036675423383713,0.11036675423383713,0.1978839933872223,0.33221492171287537,0.12178783863782883,0.12178783863782883,0.22840411961078644,0.3489811420440674
0.10990583151578903,0.10990583151578903,0.19284211099147797,0.3315204679965973,0.11945909261703491,0.11945909261703491,0.2280741035938263,0.3456285297870636
0.11169057339429855,0.11169057339429855,0.20352569222450256,0.3342013955116272,0.1199195608496666,0.1199195608496666,0.22947454452514648,0.3462940454483032
0.10792416334152222,0.10792416334152222,0.18915514647960663,0.3285181224346161,0.12005745619535446,0.12005745619535446,0.2187032699584961,0.34649306535720825
0.10561920702457428,0.10561920702457428,0.1903027445077896,0.3249910771846771,0.1217356026172638,0.1217356026172638,0.23075515031814575,0.3489062786102295
0.10441949218511581,0.10441949218511581,0.18752004206180573,0.32314005494117737,0.12089964747428894,0.12089964747428894,0.21724922955036163,0.34770625829696655
0.1019803062081337,0.1019803062081337,0.1837087720632553,0.31934353709220886,0.12315161526203156,0.12315161526203156,0.23052148520946503,0.3509296476840973
0.09978863596916199,0.09978863596916199,0.18595096468925476,0.31589338183403015,0.12088821083307266,0.12088821083307266,0.22377991676330566,0.34768980741500854
0.10343208909034729,0.10343208909034729,0.18690475821495056,0.32160860300064087,0.12097977101802826,0.12097977101802826,0.21715326607227325,0.3478214740753174
0.09745418280363083,0.09745418280363083,0.1712397187948227,0.31217652559280396,0.12168507277965546,0.12168507277965546,0.21752671897411346,0.3488338589668274
0.09469693899154663,0.09469693899154663,0.18013590574264526,0.30772867798805237,0.12513184547424316,0.12513184547424316,0.21627411246299744,0.35373979806900024
0.09272656589746475,0.09272656589746475,0.16532133519649506,0.3045103847980499,0.1269795000553131,0.1269795000553131,0.2168702781200409,0.3563418388366699
0.09181764721870422,0.09181764721870422,0.16670458018779755,0.30301424860954285,0.12075664848089218,0.12075664848089218,0.21299825608730316,0.3475005626678467
0.08904899656772614,0.08904899656772614,0.16525359451770782,0.2984107732772827,0.1285913586616516,0.1285913586616516,0.21572059392929077,0.3585963845252991
0.08730300515890121,0.08730300515890121,0.1635003387928009,0.29547080397605896,0.14724260568618774,0.14724260568618774,0.23291489481925964,0.3837220370769501
0.08950305730104446,0.08950305730104446,0.16281872987747192,0.2991706132888794,0.1233120933175087,0.1233120933175087,0.21445126831531525,0.3511582016944885
0.08710718154907227,0.08710718154907227,0.16293993592262268,0.29513925313949585,0.14138953387737274,0.14138953387737274,0.22219839692115784,0.3760179877281189
0.08874031901359558,0.08874031901359558,0.16838014125823975,0.29789313673973083,0.12922732532024384,0.12922732532024384,0.22124330699443817,0.3594820201396942
0.0858379676938057,0.0858379676938057,0.16107702255249023,0.29298117756843567,0.1445174515247345,0.1445174515247345,0.22889551520347595,0.3801545202732086
0.08358165621757507,0.08358165621757507,0.1559617668390274,0.2891049087047577,0.1491435319185257,0.1491435319185257,0.228110671043396,0.3861910402774811
0.08421167731285095,0.08421167731285095,0.1557641625404358,0.29019248485565186,0.12125033140182495,0.12125033140182495,0.19692803919315338,0.3482101857662201
0.084493488073349,0.084493488073349,0.15639452636241913,0.29067763686180115,0.13097287714481354,0.13097287714481354,0.20856519043445587,0.36190173029899597
